date,time,open,high,low,close,volume
2010.05.04,00:00,1.31884,1.31981,1.31853,1.3198,750
2010.05.04,01:00,1.31982,1.32004,1.31885,1.31942,626
2010.05.04,02:00,1.31947,1.3212,1.31915,1.32083,954
2010.05.04,03:00,1.32084,1.32131,1.3197,1.32073,896
2010.05.04,04:00,1.32076,1.32122,1.31928,1.32013,893
2010.05.04,05:00,1.32012,1.32039,1.31943,1.32018,647
2010.05.04,06:00,1.3202,1.3209,1.31949,1.32069,845
2010.05.04,07:00,1.32072,1.32073,1.31717,1.31761,1451
2010.05.04,08:00,1.3176,1.31892,1.31659,1.31745,2459
2010.05.04,09:00,1.31744,1.31765,1.31456,1.31662,2598
2010.05.04,10:00,1.31661,1.31812,1.31272,1.31313,2888
2010.05.04,11:00,1.31312,1.31447,1.3117,1.31305,2810
2010.05.04,12:00,1.31306,1.31359,1.3112,1.31208,2427
2010.05.04,13:00,1.31205,1.31345,1.30876,1.30948,2803
2010.05.04,14:00,1.30951,1.31038,1.30661,1.30664,3281
2010.05.04,15:00,1.30668,1.30752,1.3037,1.3056,3560
2010.05.04,16:00,1.30559,1.30657,1.30303,1.30324,3947
2010.05.04,17:00,1.30322,1.30382,1.30207,1.30381,2912
2010.05.04,18:00,1.30383,1.30466,1.30278,1.3038,2813
2010.05.04,19:00,1.30381,1.30398,1.30112,1.30209,2185
2010.05.04,20:00,1.30213,1.30217,1.29936,1.3002,2086
2010.05.04,21:00,1.30016,1.30181,1.29944,1.30038,1783
2010.05.04,22:00,1.30035,1.3004,1.29812,1.29869,1409
2010.05.04,23:00,1.29868,1.29882,1.29629,1.29718,1667
2010.05.05,00:00,1.29702,1.29854,1.29616,1.29655,1193
2010.05.05,01:00,1.29654,1.29793,1.2965,1.29773,1054
2010.05.05,02:00,1.29775,1.29917,1.29373,1.294,1711
2010.05.05,03:00,1.29401,1.29602,1.29381,1.29554,1914
2010.05.05,04:00,1.29555,1.29663,1.29533,1.29584,1152
2010.05.05,05:00,1.2959,1.29679,1.29567,1.29586,1335
2010.05.05,06:00,1.29587,1.29591,1.2936,1.29496,1361
2010.05.05,07:00,1.29494,1.2974,1.29491,1.29682,1796
2010.05.05,08:00,1.2968,1.29956,1.2964,1.29936,2468
2010.05.05,09:00,1.29934,1.29934,1.29345,1.2948,3203
2010.05.05,10:00,1.29478,1.29713,1.29417,1.29706,3223
2010.05.05,11:00,1.29698,1.29932,1.29661,1.29706,3143
2010.05.05,12:00,1.29704,1.29818,1.29389,1.29396,2344
2010.05.05,13:00,1.294,1.294,1.29148,1.29259,2807
2010.05.05,14:00,1.29258,1.29435,1.2859,1.28603,4188
2010.05.05,15:00,1.28599,1.28602,1.28034,1.28447,4795
2010.05.05,16:00,1.28453,1.28737,1.28438,1.28678,3852
2010.05.05,17:00,1.28663,1.28895,1.2847,1.28892,3489
2010.05.05,18:00,1.28891,1.29044,1.287,1.28894,2598
2010.05.05,19:00,1.28896,1.28896,1.28556,1.28591,2238
2010.05.05,20:00,1.28592,1.2863,1.28144,1.28241,2827
2010.05.05,21:00,1.28243,1.2828,1.2809,1.28203,2152
2010.05.05,22:00,1.28201,1.28264,1.28121,1.28132,1098
2010.05.05,23:00,1.28131,1.28257,1.27891,1.28182,1461
2010.05.06,00:00,1.28191,1.28232,1.28026,1.28132,991
2010.05.06,01:00,1.28134,1.28261,1.28119,1.28156,1109
2010.05.06,02:00,1.2816,1.28468,1.28157,1.28357,1550
2010.05.06,03:00,1.28354,1.2846,1.28239,1.28327,1443
2010.05.06,04:00,1.28325,1.28557,1.28314,1.2846,1228
2010.05.06,05:00,1.28462,1.28511,1.28407,1.28449,731
2010.05.06,06:00,1.28446,1.28447,1.28181,1.28255,1169
2010.05.06,07:00,1.28259,1.28338,1.28127,1.28324,1357
2010.05.06,08:00,1.2832,1.28323,1.27387,1.2743,3448
2010.05.06,09:00,1.27433,1.28082,1.27371,1.2795,3693
2010.05.06,10:00,1.27947,1.2825,1.27701,1.28165,3484
2010.05.06,11:00,1.28172,1.28196,1.27625,1.27722,3287
2010.05.06,12:00,1.27724,1.28009,1.27723,1.27831,2756
2010.05.06,13:00,1.27836,1.27854,1.27177,1.27294,3800
2010.05.06,14:00,1.27291,1.27479,1.2709,1.27092,4191
2010.05.06,15:00,1.27096,1.2752,1.26915,1.27457,5571
2010.05.06,16:00,1.27468,1.27694,1.26882,1.27106,4445
2010.05.06,17:00,1.27102,1.27219,1.26542,1.26883,4481
2010.05.06,18:00,1.26879,1.27396,1.26875,1.27315,4236
2010.05.06,19:00,1.27313,1.27329,1.26695,1.26719,3634
2010.05.06,20:00,1.26722,1.26752,1.2527,1.25961,5812
2010.05.06,21:00,1.25954,1.26421,1.25699,1.26256,5524
2010.05.06,22:00,1.26255,1.26314,1.26032,1.2619,2871
2010.05.06,23:00,1.26191,1.26601,1.2615,1.26296,2631
2010.05.07,00:00,1.26296,1.26452,1.26064,1.26252,2265
2010.05.07,01:00,1.26253,1.26768,1.26192,1.26539,2401
2010.05.07,02:00,1.2654,1.2658,1.2586,1.26129,3041
2010.05.07,03:00,1.2613,1.26537,1.26056,1.26455,2793
2010.05.07,04:00,1.26487,1.27213,1.26482,1.27078,2949
2010.05.07,05:00,1.27079,1.2708,1.26833,1.27065,2315
2010.05.07,06:00,1.27067,1.27355,1.26851,1.26949,2545
2010.05.07,07:00,1.26948,1.26988,1.26546,1.26869,3273
2010.05.07,08:00,1.26867,1.27101,1.26601,1.26629,4085
2010.05.07,09:00,1.26634,1.27422,1.2635,1.27122,5083
2010.05.07,10:00,1.2712,1.27723,1.27097,1.27276,4198
2010.05.07,11:00,1.27277,1.27649,1.27129,1.2738,3860
2010.05.07,12:00,1.27378,1.27973,1.27348,1.27883,3924
2010.05.07,13:00,1.27886,1.2794,1.2724,1.273,3516
2010.05.07,14:00,1.27292,1.27539,1.26754,1.27067,5050
2010.05.07,15:00,1.27061,1.27129,1.26665,1.26787,4955
2010.05.07,16:00,1.2679,1.26815,1.26102,1.26501,5761
2010.05.07,17:00,1.26498,1.27524,1.2634,1.27154,5570
2010.05.07,18:00,1.2715,1.2771,1.27029,1.2705,4564
2010.05.07,19:00,1.27044,1.27409,1.26899,1.27316,3436
2010.05.07,20:00,1.27319,1.27495,1.2718,1.27327,3170
2010.05.07,21:00,1.27324,1.27349,1.27074,1.27303,3039
2010.05.07,22:00,1.27306,1.27572,1.27293,1.27518,1349
2010.05.10,00:00,1.29299,1.29312,1.286,1.28772,3507
2010.05.10,01:00,1.28775,1.28883,1.28403,1.28663,2650
2010.05.10,02:00,1.28662,1.29244,1.28173,1.28468,3775
2010.05.10,03:00,1.28469,1.28879,1.28078,1.28833,3352
2010.05.10,04:00,1.28834,1.2939,1.28798,1.29199,2810
2010.05.10,05:00,1.29198,1.29677,1.29187,1.29453,2263
2010.05.10,06:00,1.29449,1.29588,1.2919,1.29215,1749
2010.05.10,07:00,1.29213,1.29358,1.29009,1.29344,2841
2010.05.10,08:00,1.29343,1.2988,1.29343,1.2975,3906
2010.05.10,09:00,1.29749,1.30456,1.29424,1.30382,4434
2010.05.10,10:00,1.30383,1.30934,1.30276,1.30442,4395
2010.05.10,11:00,1.30445,1.30668,1.30157,1.30325,3478
2010.05.10,12:00,1.30321,1.30324,1.29772,1.29934,3023
2010.05.10,13:00,1.29931,1.30115,1.29617,1.29679,4000
2010.05.10,14:00,1.2967,1.29881,1.28772,1.29287,4850
2010.05.10,15:00,1.29291,1.29435,1.28791,1.28813,4762
2010.05.10,16:00,1.2881,1.28826,1.28159,1.28367,5211
2010.05.10,17:00,1.28375,1.28728,1.28234,1.28601,3866
2010.05.10,18:00,1.28608,1.28789,1.28092,1.28096,3341
2010.05.10,19:00,1.28095,1.28177,1.27629,1.27994,3065
2010.05.10,20:00,1.27996,1.28099,1.27759,1.2801,2145
2010.05.10,21:00,1.28014,1.28029,1.27588,1.27841,2340
2010.05.10,22:00,1.27839,1.28024,1.27756,1.27864,1556
2010.05.10,23:00,1.27863,1.27924,1.27758,1.27864,1182
